index,year,month,day,rain,tmax,tmin,srad,Tmean,district
99,2017,4,10,18.4,23.0,12.5,18.8,17.75,Debre markos
100,2017,4,11,1.6,24.7,10.8,24.3,17.75,Debre markos
101,2017,4,12,5.5,23.4,12.2,20.0,17.799999999999997,Debre markos
102,2017,4,13,0.0,28.0,11.2,27.0,19.6,Debre markos
103,2017,4,14,0.2,28.0,11.3,26.9,19.65,Debre markos
104,2017,4,15,0.0,27.4,12.3,25.6,19.85,Debre markos
105,2017,4,16,0.0,27.3,11.8,25.9,19.55,Debre markos
106,2017,4,17,0.0,29.0,13.5,25.9,21.25,Debre markos
107,2017,4,18,0.0,30.6,14.4,26.4,22.5,Debre markos
108,2017,4,19,0.0,30.0,14.3,25.9,22.15,Debre markos
109,2017,4,20,0.0,31.1,15.1,26.2,23.1,Debre markos
110,2017,4,21,0.0,27.3,13.1,24.5,20.2,Debre markos
111,2017,4,22,0.0,29.8,14.4,25.6,22.1,Debre markos
112,2017,4,23,0.0,27.1,12.8,24.4,19.950000000000003,Debre markos
113,2017,4,24,0.8,27.2,12.9,24.5,20.05,Debre markos
114,2017,4,25,3.0,24.9,13.4,20.3,19.15,Debre markos
115,2017,4,26,1.3,26.3,13.2,22.8,19.75,Debre markos
116,2017,4,27,0.0,29.1,14.1,25.1,21.6,Debre markos
117,2017,4,28,0.0,29.0,13.4,25.6,21.2,Debre markos
118,2017,4,29,0.2,26.0,14.1,21.1,20.05,Debre markos
119,2017,4,30,0.3,28.8,15.1,23.6,21.95,Debre markos
120,2017,5,1,0.0,28.4,15.0,23.2,21.7,Debre markos
121,2017,5,2,0.4,25.8,14.4,20.0,20.1,Debre markos
122,2017,5,3,8.6,23.3,13.9,16.0,18.6,Debre markos
123,2017,5,4,3.5,23.9,13.0,19.3,18.45,Debre markos
124,2017,5,5,2.0,26.4,14.3,21.2,20.35,Debre markos
125,2017,5,6,6.8,22.6,13.4,15.7,18.0,Debre markos
126,2017,5,7,2.9,22.9,12.9,17.2,17.9,Debre markos
127,2017,5,8,16.5,20.5,13.7,10.0,17.1,Debre markos
